              x     u_solution   u_analytical  log10(relErr)
    0.041704170     0.29930426     0.29930429     -7.0790944
    0.041804180     0.29986299     0.29986301     -7.0790944
    0.041904190     0.30042105     0.30042108     -7.0790944
    0.042004200     0.30097846     0.30097848     -7.0790944
    0.042104210     0.30153521     0.30153524     -7.0790944
    0.042204220     0.30209131     0.30209133     -7.0790944
    0.042304230     0.30264674     0.30264677     -7.0790944
    0.042404240     0.30320153     0.30320155     -7.0790944
    0.042504250     0.30375566     0.30375568     -7.0790944
    0.042604260     0.30430913     0.30430916     -7.0790944
    0.042704270     0.30486195     0.30486198     -7.0790944
    0.042804280     0.30541412     0.30541415     -7.0790944
    0.042904290     0.30596564     0.30596567     -7.0790944
    0.043004300     0.30651651     0.30651653     -7.0790944
    0.043104310     0.30706672     0.30706675     -7.0790944
    0.043204320     0.30761629     0.30761631     -7.0790944
    0.043304330     0.30816520     0.30816523     -7.0790944
    0.043404340     0.30871347     0.30871350     -7.0790944
    0.043504350     0.30926109     0.30926112     -7.0790944
    0.043604360     0.30980806     0.30980809     -7.0790944
    0.043704370     0.31035439     0.31035441     -7.0790944
    0.043804380     0.31090007     0.31090009     -7.0790944
    0.043904390     0.31144510     0.31144513     -7.0790944
    0.044004400     0.31198949     0.31198952     -7.0790944
    0.044104410     0.31253324     0.31253326     -7.0790944
    0.044204420     0.31307634     0.31307636     -7.0790944
    0.044304430     0.31361880     0.31361882     -7.0790944
    0.044404440     0.31416061     0.31416064     -7.0790944
    0.044504450     0.31470179     0.31470181     -7.0790944
    0.044604460     0.31524232     0.31524235     -7.0790944
    0.044704470     0.31578221     0.31578224     -7.0790944
    0.044804480     0.31632147     0.31632149     -7.0790944
    0.044904490     0.31686008     0.31686011     -7.0790944
    0.045004500     0.31739806     0.31739809     -7.0790944
    0.045104510     0.31793540     0.31793543     -7.0790944
    0.045204520     0.31847210     0.31847213     -7.0790944
    0.045304530     0.31900817     0.31900819     -7.0790944
    0.045404540     0.31954360     0.31954362     -7.0790944
    0.045504550     0.32007839     0.32007842     -7.0790944
    0.045604560     0.32061255     0.32061258     -7.0790944
    0.045704570     0.32114608     0.32114610     -7.0790944
    0.045804580     0.32167897     0.32167900     -7.0790944
    0.045904590     0.32221123     0.32221126     -7.0790944
    0.046004600     0.32274286     0.32274288     -7.0790944
    0.046104610     0.32327385     0.32327388     -7.0790944
    0.046204620     0.32380422     0.32380425     -7.0790944
    0.046304630     0.32433396     0.32433398     -7.0790944
    0.046404640     0.32486306     0.32486309     -7.0790944
    0.046504650     0.32539154     0.32539157     -7.0790944
    0.046604660     0.32591939     0.32591942     -7.0790944
    0.046704670     0.32644661     0.32644664     -7.0790944
    0.046804680     0.32697320     0.32697323     -7.0790944
    0.046904690     0.32749917     0.32749920     -7.0790944
    0.047004700     0.32802452     0.32802454     -7.0790944
    0.047104710     0.32854923     0.32854926     -7.0790944
    0.047204720     0.32907333     0.32907335     -7.0790944
    0.047304730     0.32959679     0.32959682     -7.0790944
    0.047404740     0.33011964     0.33011967     -7.0790944
    0.047504750     0.33064186     0.33064189     -7.0790944
    0.047604760     0.33116347     0.33116349     -7.0790944
    0.047704770     0.33168445     0.33168447     -7.0790944
    0.047804780     0.33220480     0.33220483     -7.0790944
    0.047904790     0.33272454     0.33272457     -7.0790944
    0.048004800     0.33324366     0.33324369     -7.0790944
    0.048104810     0.33376216     0.33376219     -7.0790944
    0.048204820     0.33428005     0.33428007     -7.0790944
    0.048304830     0.33479731     0.33479734     -7.0790944
    0.048404840     0.33531396     0.33531399     -7.0790944
    0.048504850     0.33582999     0.33583002     -7.0790944
    0.048604860     0.33634541     0.33634543     -7.0790944
    0.048704870     0.33686021     0.33686023     -7.0790944
    0.048804880     0.33737439     0.33737442     -7.0790944
    0.048904890     0.33788796     0.33788799     -7.0790944
    0.049004900     0.33840092     0.33840095     -7.0790944
    0.049104910     0.33891327     0.33891330     -7.0790944
    0.049204920     0.33942500     0.33942503     -7.0790944
    0.049304930     0.33993612     0.33993615     -7.0790944
    0.049404940     0.34044664     0.34044666     -7.0790944
    0.049504950     0.34095654     0.34095657     -7.0790944
    0.049604960     0.34146583     0.34146586     -7.0790944
    0.049704970     0.34197451     0.34197454     -7.0790944
    0.049804980     0.34248259     0.34248261     -7.0790944
    0.049904990     0.34299005     0.34299008     -7.0790944
    0.050005001     0.34349691     0.34349694     -7.0790944
    0.050105011     0.34400316     0.34400319     -7.0790944
    0.050205021     0.34450881     0.34450884     -7.0790944
    0.050305031     0.34501385     0.34501388     -7.0790944
    0.050405041     0.34551829     0.34551831     -7.0790944
    0.050505051     0.34602212     0.34602215     -7.0790944
    0.050605061     0.34652535     0.34652537     -7.0790944
    0.050705071     0.34702797     0.34702800     -7.0790944
    0.050805081     0.34752999     0.34753002     -7.0790944
    0.050905091     0.34803141     0.34803144     -7.0790944
    0.051005101     0.34853223     0.34853226     -7.0790944
    0.051105111     0.34903245     0.34903248     -7.0790944
    0.051205121     0.34953207     0.34953210     -7.0790944
    0.051305131     0.35003109     0.35003112     -7.0790944
    0.051405141     0.35052951     0.35052954     -7.0790944
    0.051505151     0.35102734     0.35102737     -7.0790944
    0.051605161     0.35152456     0.35152459     -7.0790944
    0.051705171     0.35202119     0.35202122     -7.0790944
    0.051805181     0.35251722     0.35251725     -7.0790944
    0.051905191     0.35301266     0.35301269     -7.0790944
    0.052005201     0.35350750     0.35350753     -7.0790944
    0.052105211     0.35400175     0.35400178     -7.0790944
    0.052205221     0.35449540     0.35449543     -7.0790944
    0.052305231     0.35498846     0.35498849     -7.0790944
    0.052405241     0.35548092     0.35548095     -7.0790944
    0.052505251     0.35597280     0.35597283     -7.0790944
    0.052605261     0.35646408     0.35646411     -7.0790944
    0.052705271     0.35695477     0.35695480     -7.0790944
    0.052805281     0.35744487     0.35744490     -7.0790944
